#! FIELDS timestep dup_succ dup_attempts kill_succ kill_attempts
#! SET timestep 0.5
#! SET kernel_bandwidth [0.8 0.8]
#! SET kt 1.0
85000 1822 420561 1943 429439
85100 1825 420983 1944 430017
85200 1827 421509 1944 430491
85300 1827 422044 1944 430956
85400 1828 422478 1945 431522
85500 1830 422901 1945 432099
85600 1830 423328 1946 432672
85700 1830 423959 1946 433041
85800 1832 424327 1949 433673
85900 1832 424619 1949 434381
86000 1834 425011 1950 434989
86100 1837 425520 1954 435480
86200 1839 426109 1955 435891
86300 1841 426499 1957 436501
86400 1843 426977 1958 437023
86500 1844 427474 1961 437526
86600 1846 427993 1962 438007
86700 1846 428540 1963 438460
86800 1846 429093 1963 438907
86900 1847 429527 1964 439473
87000 1847 430108 1965 439892
87100 1849 430496 1967 440504
87200 1850 431018 1968 440982
87300 1850 431522 1968 441478
87400 1851 431987 1968 442013
87500 1853 432423 1968 442577
87600 1853 432872 1970 443128
87700 1855 433410 1975 443590
87800 1857 434040 1976 443960
87900 1859 434520 1976 444480
88000 1860 435021 1976 444979
88100 1861 435546 1979 445454
88200 1861 436177 1979 445823
88300 1861 436698 1981 446302
88400 1862 437128 1981 446872
88500 1863 437658 1981 447342
88600 1864 438177 1983 447823
88700 1865 438603 1984 448397
88800 1865 439156 1984 448844
88900 1865 439758 1984 449242
89000 1866 440196 1984 449804
89100 1867 440858 1986 450142
89200 1868 441387 1987 450613
89300 1869 441820 1991 451180
89400 1869 442416 1992 451584
89500 1872 442914 1992 452086
89600 1874 443407 1995 452593
89700 1874 443879 1996 453121
89800 1874 444312 1996 453688
89900 1874 444746 1997 454254
90000 1876 445239 1999 454761
90100 1877 445756 2000 455244
90200 1878 446270 2007 455730
90300 1883 446711 2008 456289
90400 1883 447132 2009 456868
90500 1884 447544 2010 457456
90600 1884 448050 2011 457950
90700 1885 448420 2012 458580
90800 1886 448926 2012 459074
90900 1888 449500 2014 459500
91000 1891 449883 2017 460117
91100 1892 450414 2020 460586
91200 1896 450899 2024 461101
91300 1898 451391 2026 461609
91400 1900 451822 2026 462178
91500 1900 452317 2027 462683
91600 1901 452636 2028 463364
91700 1902 453074 2028 463926
91800 1905 453660 2030 464340
91900 1906 454244 2032 464756
